,Genre,Top 10 Actors
0,Romance,"[('Salman Khan', 21), ('Shahid Kapoor', 16), ('Akshay Kumar', 16), ('Kareena Kapoor', 15), ('Rani Mukerji', 13), ('Ajay Devgn', 13), ('Aftab Shivdasani', 13), ('Amitabh Bachchan', 13), ('Anupam Kher', 13), ('Priyanka Chopra', 12)]"
1,Adventure,"[('Sanjay Dutt', 6), ('Abhishek Bachchan', 6), ('Vivek Oberoi', 5), ('Priyanka Chopra', 5), ('Sunny Deol', 4), ('Amitabh Bachchan', 4), ('Hrithik Roshan', 4), ('Ajay Devgn', 4), ('Lara Dutta', 4), ('Naseeruddin Shah', 3)]"
2,Action,"[('Sunil Shetty', 26), ('Ajay Devgn', 26), ('Sanjay Dutt', 26), ('Akshay Kumar', 19), ('Sunny Deol', 19), ('Amitabh Bachchan', 18), ('Abhishek Bachchan', 16), ('Priyanka Chopra', 15), ('Mithun Chakraborty', 13), ('Kareena Kapoor', 11)]"
3,Drama,"[('Amitabh Bachchan', 34), ('Ajay Devgn', 31), ('Akshay Kumar', 24), ('Anupam Kher', 24), ('Sanjay Dutt', 23), ('Priyanka Chopra', 23), ('Salman Khan', 22), ('Om Puri', 21), ('Sunil Shetty', 21), ('Kareena Kapoor', 20)]"
4,Musical,"[('Salman Khan', 7), ('Abhishek Bachchan', 7), ('Bipasha Basu', 6), ('Anupam Kher', 6), ('Jackie Shroff', 5), ('Rani Mukerji', 5), ('Ajay Devgn', 5), ('Aftab Shivdasani', 5), ('Anil Kapoor', 5), ('Shah Rukh Khan', 4)]"
5,Comedy,"[('Akshay Kumar', 31), ('Paresh Rawal', 22), ('Arshad Warsi', 20), ('Anupam Kher', 20), ('Sunil Shetty', 17), ('Salman Khan', 17), ('Saif Ali Khan', 16), ('Sanjay Dutt', 16), ('Ritesh Deshmukh', 16), ('Ajay Devgn', 14)]"
6,Crime,"[('Akshay Kumar', 16), ('Ajay Devgn', 12), ('Bipasha Basu', 10), ('Om Puri', 10), ('Sanjay Dutt', 10), ('Amitabh Bachchan', 10), ('Abhishek Bachchan', 10), ('Kay Kay Menon', 9), ('Emraan Hashmi', 9), ('Sunil Shetty', 9)]"
7,Thriller,"[('Emraan Hashmi', 13), ('Sunil Shetty', 10), ('Sanjay Dutt', 10), ('Bipasha Basu', 9), ('Ajay Devgn', 7), ('Manoj Bajpayee', 6), ('Gulshan Grover', 6), ('John Abraham', 6), ('Neha Dhupia', 6), ('Kay Kay Menon', 6)]"
8,Documentary,"[('Neeru Bajwa', 1), ('Sonali Gulati', 1), ('Ruby Bhatia', 1), ('Vekeana Dhillon', 1), ('Vikram Dhillon', 1)]"
9,Biography,"[('Aishwarya Rai Bachchan', 2), ('Shailendra Gaur', 1), ('Ajay Devgn', 1), ('Bobby Deol', 1), ('Aamir Khan', 1), ('Akshaye Khanna', 1), ('Mithun Chakraborty', 1), ('Kangana Ranaut', 1), ('Vidya Balan', 1), ('Farhan Akhtar', 1)]"
10,Mystery,"[('Gulshan Grover', 5), ('Akshay Kumar', 4), ('Amitabh Bachchan', 4), ('Paresh Rawal', 4), ('Shiney Ahuja', 3), ('Dino Morea', 3), ('Kay Kay Menon', 3), ('Ritesh Deshmukh', 3), ('Kareena Kapoor', 3), ('Ahsaas Channa', 3)]"
11,War,"[('Sanjay Dutt', 3), ('Ajay Devgn', 3), ('Amitabh Bachchan', 2), ('Sunil Shetty', 2), ('Manoj Bajpayee', 2), ('Hrithik Roshan', 1), ('Preity Zinta', 1), ('Akshaye Khanna', 1), ('Sharad S. Kapoor', 1), ('Amrita Rao', 1)]"
12,Family,"[('Amitabh Bachchan', 3), ('Saif Ali Khan', 3), ('Anil Kapoor', 2), ('Om Puri', 2), ('Kajol', 2), ('Arjun Rampal', 2), ('Javed Jaffrey', 2), ('Shahid Kapoor', 2), ('Kareena Kapoor', 2), ('Bhairavi Goswami', 2)]"
13,Horror,"[('Bipasha Basu', 4), ('Vicky Ahuja', 3), ('Emraan Hashmi', 3), ('Ahsaas Channa', 3), ('Manisha Koirala', 2), ('Tia Bajpai', 2), ('Shiney Ahuja', 2), ('J.D. Chakravarthi', 2), ('Aparna Bajpai', 2), ('Jimmy Shergill', 2)]"
14,Fantasy,"[('Boman Irani', 4), ('Amitabh Bachchan', 3), ('Akshay Kumar', 3), ('Sanjay Dutt', 2), ('Anupam Kher', 2), ('Isha Koppikar', 2), ('Rati Agnihotri', 2), ('Javed Jaffrey', 1), ('Rasika Joshi', 1), ('Shah Rukh Khan', 1)]"
15,Music,"[('Akshay Kumar', 1), ('Ranbir Kapoor', 1), ('Prabhudheva', 1), ('Karisma Kapoor', 1), ('Nargis Fakhri', 1), ('Ganesh Acharya', 1), ('Ameesha Patel', 1), ('Shammi Kapoor', 1), ('Kay Kay Menon', 1), ('Gulshan Grover', 1)]"
16,Animation,"[('Ajay Devgn', 2), ('Manoj Bajpayee', 2), ('Juhi Chawla', 2), ('Sushmita Mukherjee', 2), ('Anjan Srivastav', 2), ('Archi', 1), ('Saif Ali Khan', 1), ('Arun Bakshi', 1), ('Cary Elwes', 1), ('Sahil Khan', 1)]"
17,Sport,"[('Boman Irani', 2), ('Dalip Tahil', 2), ('Nafisa Ali', 2), ('John Abraham', 1), ('Arshad Warsi', 1), ('Bipasha Basu', 1), ('Dharmendra', 1), ('Harman Baweja', 1), ('Nishan Nanaiah', 1), ('Siddharth Kher', 1)]"
18,History,"[('Pavan Malhotra', 2), ('John Abraham', 2), ('Habib Aazmi', 1), ('Priya Annatram', 1), ('Pravin Baby', 1), ('Mahesh Balraj', 1), ('Shahbaaz Khan', 1), ('Mischa Barton', 1), ('Raghuvir Yadav', 1), ('Vijay Raaz', 1)]"
19,Sci-Fi,"[('Omkar Das Manikpuri', 2), ('Bipasha Basu', 2), ('Hussain Kuwajerwala', 1), ('Ashish Patil', 1), ('Paresh Ganatra', 1), ('Rajeev Verma', 1), ('Pitobash', 1), ('Rio Kapadia', 1), ('Dev Gohar', 1), ('Amit Purohit', 1)]"
20,Short,"[('Parimal Aloke', 1), ('Paru Gambhir', 1)]"
21,Western,"[('Prabhudheva', 1), ('Ganesh Acharya', 1), ('Kay Kay Menon', 1), ('Lauren Gottlieb', 1)]"
